device_id,display_name,category,variant,variant_label,search_query,common_issues_provisional,conditions_observed,sold_listings_90d,used_listings,for_parts_listings,images_available,last_checked
iphone-14,iPhone 14,Phone,128gb,"128GB, 2022",Apple iPhone 14 128GB,Cracked screen | Battery degradation | Charging port | Water damage | Back glass,Pre-Owned (54) | Very Good - Refurbished (8) | Excellent - Refurbished (7) | Open Box (6) | Parts Only (5) | Good - Refurbished (5) | Brand New (4),89,54,5,89/89,2026-08-05
iphone-13,iPhone 13,Phone,128gb,"128GB, 2021",Apple iPhone 13 128GB,Cracked screen | Battery degradation | Charging port | Water damage | Rear camera,Pre-Owned (68) | Parts Only (13) | Very Good - Refurbished (4) | Excellent - Refurbished (4) | Open Box (3) | Brand New (3) | Good - Refurbished (2),97,68,13,97/97,2026-08-05
iphone-12,iPhone 12,Phone,128gb,"128GB, 2020",Apple iPhone 12 128GB,Cracked screen | Battery degradation | Won't turn on | Charging port | Back glass,Pre-Owned (39) | Good - Refurbished (7) | Parts Only (6) | Very Good - Refurbished (5) | Excellent - Refurbished (2) | Brand New (2) | Open Box (1),62,39,6,62/62,2026-08-05
iphone-11,iPhone 11,Phone,64gb,"64GB, 2019",Apple iPhone 11 64GB,Battery degradation | Cracked screen | Won't turn on | Charging port | Back glass,Pre-Owned (80) | Parts Only (30) | Good - Refurbished (5) | Brand New (3) | Very Good - Refurbished (3) | Excellent - Refurbished (2) | Open Box (1),124,80,30,124/124,2026-08-05
galaxy-s23,Samsung Galaxy S23,Phone,128gb,"128GB, 2023",Samsung Galaxy S23 128GB,Cracked screen | Battery degradation | Charging port | Water damage | Green line display,Pre-Owned (38) | Brand New (12) | Good - Refurbished (11) | Very Good - Refurbished (9) | Excellent - Refurbished (6) | Open Box (5) | Parts Only (4) | New (Other) (2),87,38,4,87/87,2026-08-05
galaxy-s22,Samsung Galaxy S22,Phone,128gb,"128GB, 2022",Samsung Galaxy S22 128GB,Cracked screen | Battery degradation | Green line display | Charging port | Won't turn on,Pre-Owned (22) | Good - Refurbished (8) | Very Good - Refurbished (8) | Parts Only (6) | Excellent - Refurbished (4) | Brand New (4) | Open Box (2) | New (Other) (1),55,22,6,55/55,2026-08-05
pixel-7,Google Pixel 7,Phone,128gb,"128GB, 2022",Google Pixel 7 128GB,Cracked screen | Battery degradation | Camera glass | Charging port | Won't turn on,Pre-Owned (17) | Parts Only (8) | Very Good - Refurbished (3) | Good - Refurbished (3) | Brand New (2) | Excellent - Refurbished (1),34,17,8,34/34,2026-08-05
macbook-air-m2,MacBook Air M2,Laptop,base,"13-inch, 2022",Apple MacBook Air M2 2022,Cracked screen | Battery degradation | Won't turn on | Liquid damage | Keyboard failure,Pre-Owned (115) | Good - Refurbished (25) | Very Good - Refurbished (22) | Parts Only (11) | Excellent - Refurbished (8) | Open Box (4) | Brand New (2),187,115,11,187/187,2026-08-05
ipad-10,iPad 10th Gen,Tablet,64gb,"64GB Wi-Fi, 2022",Apple iPad 10th generation 64GB,Cracked screen | Battery degradation | Won't turn on | Charging port | Activation lock,Pre-Owned (109) | Parts Only (26) | Brand New (12) | Open Box (8) | Very Good - Refurbished (8) | Excellent - Refurbished (5) | Good - Refurbished (1),169,109,26,169/169,2026-08-05
surface-pro-9,Microsoft Surface Pro 9,Tablet,base,"128GB / 256GB, 2022",Microsoft Surface Pro 9,Cracked screen | Won't turn on | Battery swelling | Kickstand hinge | Type Cover port,Pre-Owned (49) | Brand New (12) | Open Box (6) | Excellent - Refurbished (6) | Very Good - Refurbished (5) | Parts Only (2) | Certified - Refurbished (1) | Good - Refurbished (1),82,49,2,82/82,2026-08-05
